Player,AVG,GP-GS,AB,Runs,Hits,2B,3B,HR,RBI,TB,SLGP,BB,HBP,SO,GDP,OBP,SF,SH,SB-ATT
"A. Tidwell, HSU ",.211 ,27-16 ,19 ,6 ,4 ,0 ,0 ,0 ,0 ,4 ,.211 ,3 ,3 ,4 ,0 ,.400 ,0 ,1 ,4-6 
"J. Hart, UAM ",.207 ,41-35 ,82 ,11 ,17 ,4 ,1 ,0 ,3 ,23 ,.280 ,9 ,2 ,18 ,0 ,.301 ,0 ,1 ,8-9 
"M. Pack, NWOSU ",.205 ,22-13 ,39 ,2 ,8 ,3 ,0 ,0 ,1 ,11 ,.282 ,3 ,1 ,13 ,0 ,.279 ,0 ,1 ,1-1 
"R. Johnson, UAM ",.205 ,22-13 ,39 ,0 ,8 ,2 ,0 ,0 ,6 ,10 ,.256 ,4 ,0 ,20 ,0 ,.267 ,2 ,0 ,0-0 
"Laskowski, OKB ",.205 ,31-12 ,44 ,6 ,9 ,1 ,0 ,2 ,9 ,16 ,.364 ,12 ,1 ,6 ,1 ,.386 ,0 ,0 ,0-1 
"Feazle, Mckinley, ECU ",.204 ,33-19 ,49 ,8 ,10 ,1 ,0 ,0 ,6 ,11 ,.224 ,2 ,0 ,17 ,0 ,.235 ,0 ,2 ,1-1 
"C. Alexander, NWOSU ",.200 ,15-15 ,35 ,6 ,7 ,2 ,0 ,0 ,0 ,9 ,.257 ,2 ,1 ,7 ,0 ,.263 ,0 ,2 ,0-1 
"Stanford, OKB ",.200 ,40-6 ,30 ,15 ,6 ,2 ,0 ,1 ,4 ,11 ,.367 ,2 ,0 ,8 ,0 ,.250 ,0 ,1 ,2-2 
"B. Denney, NWOSU ",.200 ,14-12 ,25 ,1 ,5 ,1 ,0 ,0 ,1 ,6 ,.240 ,2 ,0 ,9 ,0 ,.259 ,0 ,0 ,1-1 
"C. Timmons, HU ",.200 ,8-0 ,5 ,2 ,1 ,1 ,0 ,0 ,0 ,2 ,.400 ,0 ,0 ,2 ,0 ,.200 ,0 ,0 ,0-0 
"P. Norvelle, SNU ",.192 ,28-9 ,26 ,5 ,5 ,1 ,1 ,0 ,0 ,8 ,.308 ,0 ,1 ,4 ,0 ,.222 ,0 ,1 ,0-0 
"K. Simmons, SOSU ",.191 ,22-19 ,47 ,4 ,9 ,0 ,0 ,0 ,2 ,9 ,.191 ,8 ,0 ,10 ,0 ,.309 ,0 ,1 ,0-1 
"T. McMahon, SWOSU ",.189 ,23-15 ,37 ,8 ,7 ,0 ,0 ,0 ,3 ,7 ,.189 ,4 ,0 ,6 ,0 ,.268 ,0 ,4 ,0-0 
"R. Gillis, OUA ",.189 ,28-22 ,53 ,6 ,10 ,1 ,0 ,0 ,5 ,11 ,.208 ,2 ,1 ,8 ,0 ,.232 ,0 ,3 ,0-0 
"Shirey, OKB ",.183 ,44-33 ,82 ,9 ,15 ,2 ,0 ,0 ,10 ,17 ,.207 ,7 ,2 ,19 ,0 ,.261 ,1 ,4 ,2-2 
"E. Reed, OUA ",.182 ,29-16 ,44 ,8 ,8 ,3 ,0 ,1 ,5 ,14 ,.318 ,9 ,0 ,10 ,0 ,.321 ,0 ,1 ,0-1 
"Kaylyn Aguirre, ATU ",.176 ,34-24 ,68 ,15 ,12 ,1 ,0 ,0 ,6 ,13 ,.191 ,4 ,0 ,12 ,0 ,.222 ,0 ,1 ,5-6 
"Johnson, OKB ",.176 ,25-0 ,17 ,7 ,3 ,0 ,0 ,0 ,0 ,3 ,.176 ,3 ,1 ,4 ,0 ,.333 ,0 ,0 ,2-2 
"S. Mershon, SWOSU ",.175 ,26-23 ,57 ,6 ,10 ,5 ,0 ,1 ,7 ,18 ,.316 ,11 ,2 ,16 ,0 ,.319 ,2 ,0 ,0-0 
